,col0(x=22-29),col1(x=29-43),col2(x=43-47),col3(x=47-57),col4(x=57-80),col5(x=80-96),col6(x=96-119),col7(x=119-141),col8(x=141-158),col9(x=158-180),col10(x=180-202),col11(x=202-219),col12(x=219-235),col13(x=235-241),col14(x=241-263),col15(x=263-281),col16(x=281-303),col17(x=303-321),col18(x=321-325),col19(x=325-342),col20(x=342-346),col21(x=346-361),col22(x=361-364),col23(x=364-386),col24(x=386-404),col25(x=404-426),col26(x=426-445),col27(x=445-468),col28(x=468-487),col29(x=487-507),col30(x=507-517),col31(x=517-528),col32(x=528-542),col33(x=542-549),col34(x=549-568),col35(x=568-591),col36(x=591-610),col37(x=610-632),col38(x=632-650),col39(x=650-671),col40(x=671-685),col41(x=685-693),col42(x=693-711),col43(x=711-714),col44(x=714-719),col45(x=719-733),col46(x=733-754),col47(x=754-773),col48(x=773-794),col49(x=794-813),col50(x=813-816),col51(x=816-821),col52(x=821-830),col53(x=830-834),col54(x=834-838),col55(x=838-856),col56(x=856-874),col57(x=874-877),col58(x=877-882),col59(x=882-891),col60(x=891-895),col61(x=895-899),col62(x=899-917),col63(x=917-935),col64(x=935-939),col65(x=939-943),col66(x=943-952),col67(x=952-957),col68(x=957-960),col69(x=960-974),col70(x=974-979),col71(x=979-1000),col72(x=1000-1010),col73(x=1010-1019),col74(x=1019-1040),col75(x=1040-1061),col76(x=1061-1071),col77(x=1071-1080),col78(x=1080-1101),col79(x=1101-1123),col80(x=1123-1133),col81(x=1133-1142),col82(x=1142-1156),col83(x=1156-1163),col84(x=1163-1170)
row0(y=201-223),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
row1(y=223-233),"","","","","","","","","D25","","","","","","","","","","","D25","","","","","","","","","","","D25","","","","","","","","","","","","D25","","","","","","","","","","","","","","","","D25","","","","","","","","","","","","","","","","","","D25","","","","","","","",""
row2(y=233-243),"","","","","","6","","","6+2","","","6","","","","6","","","","6+3","","","","","6","","","8","","","8","","","","","8","","","6","","","","6+1","","","","","6","","","","","6","","","","","","","6","","","","","","","6","","","","","","6","","","","6+2","","","","6+2","","","",""
row3(y=243-253),"","","","","","6+2","","","6","","","6+3","","","","6+3","","","","6","","","","","6+5","","","8+3","","","8","","","","","8+3","","","6+5","","","","6","","","","","6+3","","","","6+3","","","","","","","","6","","","","","","","6+3","","","","","","6+3","","","","6","","","","6+2","","","",""
row4(y=253-263),"","","","","","-","","","3,800","","","-","","","","-","","","","3,800","","","","","-","","","-","","","-","","","","","-","","","-","","","","4,400","","","","","-","","","","","-","","","","","","","-","","","","","","","-","","","","","","-","","","","","","4,300","","","","","",""
row5(y=263-273),"","","","","","2,800","","","-","","","2,900","","","","2,600","","","","-","","","","","3,000","","","2,600","","","-","","","","","2,600","","","3,100","","","","-","","","","","3,100","","","","2,600","","","","","","","","-","","","","","","2,600","","","","","","","2,700","","","","-","","","","2,850","","","",""
row6(y=273-282),"","","","","","","","D13[2]@150","","","","","","","","","","D13[2]@150","","","","","","","","","","","","D13[3]@200","","","","","","","","","","","D13[2]@150","","","","","","","","","","","","","","","","D13[2]@150","","","","","","","","","","","","","","","","","","","D13[2]@150","","","","","","","","",""
row7(y=282-292),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
row8(y=292-307),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
row9(y=307-321),"","","","","","","","","FG7","","","","","","","","","","","FG8","","","","","","","","","","","FG9","","","","","","","","","","","","FG9A","","","","","","","","","","","","","","","","FG10","","","","","","","","","","","","","","","","","","FG11","","","","","","","",""
row10(y=321-331),"","スパン","","","","","","","8,400","","","","","","","","","","","6,450","","","","","","","","","","","6,450","","","","","","","","","","","","6,450","","","","","","","","","","","","","","","","8,500","","","","","","","","","","","","","","","","","","8,600","","","","","","","",""
row11(y=331-341),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
row12(y=341-364),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
